"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"ApexSharingViolations","pmd",3,"Recommended,Security,Apex","force-app/main/default/classes/Demo.cls",1,1,1,7,"Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_security.html#apexsharingviolations"
"AvoidGlobalModifier","pmd",3,"Recommended,BestPractices,Apex","force-app/main/default/classes/Demo.cls",1,8,36,2,"Avoid using global modifier","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier"
"ApexDoc","pmd",4,"Recommended,Documentation,Apex","force-app/main/default/classes/Demo.cls",1,8,36,2,"Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_documentation.html#apexdoc"
"EmptyStatementBlock","pmd",3,"Recommended,ErrorProne,Apex","force-app/main/default/classes/Demo.cls",3,5,3,11,"Avoid empty block statements.","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_errorprone.html#emptystatementblock"
"ExcessiveParameterList","pmd",3,"Recommended,Design,Apex","force-app/main/default/classes/Demo.cls",3,12,3,112,"Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_design.html#excessiveparameterlist"
"ApexDoc","pmd",4,"Recommended,Documentation,Apex","force-app/main/default/classes/Demo.cls",3,12,6,6,"Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_documentation.html#apexdoc"
"ApexDoc","pmd",4,"Recommended,Documentation,Apex","force-app/main/default/classes/Demo.cls",8,12,13,5,"Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_documentation.html#apexdoc"
"ApexCRUDViolation","pmd",2,"Recommended,Security,Apex","force-app/main/default/classes/Demo.cls",11,23,11,77,"Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_security.html#apexcrudviolation"
"AvoidDebugStatements","pmd",4,"Recommended,Performance,Apex","force-app/main/default/classes/Demo.cls",12,9,12,32,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements"
"DebugsShouldUseLoggingLevel","pmd",4,"Recommended,BestPractices,Apex","force-app/main/default/classes/Demo.cls",12,9,12,32,"Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel"
"ApexDoc","pmd",4,"Recommended,Documentation,Apex","force-app/main/default/classes/Demo.cls",15,12,28,6,"Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_documentation.html#apexdoc"
"AvoidDeeplyNestedIfStmts","pmd",3,"Recommended,Design,Apex","force-app/main/default/classes/Demo.cls",19,17,24,18,"Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts"
"AvoidDebugStatements","pmd",4,"Recommended,Performance,Apex","force-app/main/default/classes/Demo.cls",21,25,21,62,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements"
"DebugsShouldUseLoggingLevel","pmd",4,"Recommended,BestPractices,Apex","force-app/main/default/classes/Demo.cls",21,25,21,62,"Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel"
"AvoidDebugStatements","pmd",4,"Recommended,Performance,Apex","force-app/main/default/classes/Demo.cls",22,25,22,44,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements"
"DebugsShouldUseLoggingLevel","pmd",4,"Recommended,BestPractices,Apex","force-app/main/default/classes/Demo.cls",22,25,22,44,"Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel"
"ApexDoc","pmd",4,"Recommended,Documentation,Apex","force-app/main/default/classes/Demo.cls",30,12,35,6,"Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_documentation.html#apexdoc"
"ApexSOQLInjection","pmd",2,"Recommended,Security,Apex","force-app/main/default/classes/Demo.cls",33,49,33,54,"Avoid untrusted/unescaped variables in DML query","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_security.html#apexsoqlinjection"
"AvoidDebugStatements","pmd",4,"Recommended,Performance,Apex","force-app/main/default/classes/Demo.cls",34,8,34,30,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements"
"DebugsShouldUseLoggingLevel","pmd",4,"Recommended,BestPractices,Apex","force-app/main/default/classes/Demo.cls",34,8,34,30,"Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel"
